code,name,market,is_etp,is_spac,is_preferred
0150K0,KoAct 수소전력ESS인프라액티브,KOSPI,True,False,False
0151S0,KODEX 미국AI반도체TOP3플러스,KOSPI,True,False,False
0152E0,SOL 배당성향탑픽액티브,KOSPI,True,False,False
019175,신풍제약우,KOSPI,False,False,True
019685,대교우B,KOSPI,False,False,True
02826K,삼성물산우B,KOSPI,False,False,True
03473K,SK우,KOSPI,False,False,True
051905,LG생활건강우,KOSPI,False,False,True
051915,LG화학우,KOSPI,False,False,True
066575,LG전자우,KOSPI,False,False,True
069500,KODEX 200,KOSPI,True,False,False
069660,KIWOOM 200,KOSPI,True,False,False
071055,한국금융지주우,KOSPI,False,False,True
078935,GS우,KOSPI,False,False,True
084695,대상홀딩스우,KOSPI,False,False,True
090355,노루페인트우,KOSPI,False,False,True
090435,아모레퍼시픽우,KOSPI,False,False,True
091160,KODEX 반도체,KOSPI,True,False,False
091170,KODEX 은행,KOSPI,True,False,False
091180,KODEX 자동차,KOSPI,True,False,False
091220,TIGER 은행,KOSPI,True,False,False
091230,TIGER 반도체,KOSPI,True,False,False
096775,SK이노베이션우,KOSPI,False,False,True
097955,CJ제일제당 우,KOSPI,False,False,True
099140,KODEX 차이나H,KOSPI,True,False,False
100910,KIWOOM KRX100,KOSPI,True,False,False
101280,KODEX 일본TOPIX100,KOSPI,True,False,False
102110,TIGER 200,KOSPI,True,False,False
102780,KODEX 삼성그룹,KOSPI,True,False,False
102960,KODEX 기계장비,KOSPI,True,False,False
102970,KODEX 증권,KOSPI,True,False,False
104520,KIWOOM 블루칩,KOSPI,True,False,False
104530,KIWOOM 고배당,KOSPI,True,False,False
105010,TIGER 라틴35,KOSPI,True,False,False
105190,ACE 200,KOSPI,True,False,False
105780,RISE 5대그룹주,KOSPI,True,False,False
108450,ACE 삼성그룹섹터가중,KOSPI,True,False,False
108590,TREX 200,KOSPI,True,False,False
108675,LX하우시스우,KOSPI,False,False,True
114100,RISE 국고채3년,KOSPI,True,False,False
114260,KODEX 국고채3년,KOSPI,True,False,False
114460,ACE 국고채3년,KOSPI,True,False,False
114470,KIWOOM 국고채3년,KOSPI,True,False,False
114800,KODEX 인버스,KOSPI,True,False,False
114820,TIGER 국채3년,KOSPI,True,False,False
117460,KODEX 에너지화학,KOSPI,True,False,False
117680,KODEX 철강,KOSPI,True,False,False
117690,TIGER 차이나항셍30,KOSPI,True,False,False
117700,KODEX 건설,KOSPI,True,False,False
120115,코오롱인더우,KOSPI,False,False,True
122090,PLUS 코스피50,KOSPI,True,False,False
122260,KIWOOM 통안채1년,KOSPI,True,False,False
122630,KODEX 레버리지,KOSPI,True,False,False
123310,TIGER 인버스,KOSPI,True,False,False
123320,TIGER 레버리지,KOSPI,True,False,False
130680,TIGER 원유선물Enhanced(H),KOSPI,True,False,False
130730,KIWOOM 단기자금,KOSPI,True,False,False
131890,ACE 삼성그룹동일가중,KOSPI,True,False,False
132030,KODEX 골드선물(H),KOSPI,True,False,False
133690,TIGER 미국나스닥100,KOSPI,True,False,False
136340,RISE 중기우량회사채,KOSPI,True,False,False
137610,TIGER 농산물선물Enhanced(H),KOSPI,True,False,False
138230,KIWOOM 미국달러선물,KOSPI,True,False,False
138520,TIGER 삼성그룹펀더멘털,KOSPI,True,False,False
138530,TIGER LG그룹+펀더멘털,KOSPI,True,False,False
138540,TIGER 현대차그룹+펀더멘털,KOSPI,True,False,False
138910,KODEX 구리선물(H),KOSPI,True,False,False
138920,KODEX 콩선물(H),KOSPI,True,False,False
139220,TIGER 200 건설,KOSPI,True,False,False
139230,TIGER 200 중공업,KOSPI,True,False,False
139240,TIGER 200 철강소재,KOSPI,True,False,False
139250,TIGER 200 에너지화학,KOSPI,True,False,False
139260,TIGER 200 IT,KOSPI,True,False,False
139270,TIGER 200 금융,KOSPI,True,False,False
139280,TIGER 경기방어,KOSPI,True,False,False
139290,TIGER 200 경기소비재,KOSPI,True,False,False
139320,TIGER 금은선물(H),KOSPI,True,False,False
139660,KIWOOM 미국달러선물인버스,KOSPI,True,False,False
140570,RISE 수출주,KOSPI,True,False,False
140580,RISE 우량업종대표주,KOSPI,True,False,False
140700,KODEX 보험,KOSPI,True,False,False
140710,KODEX 운송,KOSPI,True,False,False
140950,파워 코스피100,KOSPI,True,False,False
143850,TIGER 미국S&P500선물(H),KOSPI,True,False,False
143860,TIGER 헬스케어,KOSPI,True,False,False
144600,KODEX 은선물(H),KOSPI,True,False,False
145670,ACE 인버스,KOSPI,True,False,False
145850,TREX 펀더멘탈 200,KOSPI,True,False,False
145995,삼양사우,KOSPI,False,False,True
147970,TIGER 모멘텀,KOSPI,True,False,False
148020,RISE 200,KOSPI,True,False,False
148070,KIWOOM 국고채10년,KOSPI,True,False,False
150460,TIGER 중국소비테마,KOSPI,True,False,False
152100,PLUS 200,KOSPI,True,False,False
152380,KODEX 국채선물10년,KOSPI,True,False,False
152500,ACE 레버리지,KOSPI,True,False,False
152870,파워 200,KOSPI,True,False,False
153130,KODEX 단기채권,KOSPI,True,False,False
153270,KIWOOM 코스피100,KOSPI,True,False,False
156080,KODEX MSCI Korea,KOSPI,True,False,False
157450,TIGER 단기통안채,KOSPI,True,False,False
157490,TIGER 소프트웨어,KOSPI,True,False,False
157500,TIGER 증권,KOSPI,True,False,False
159800,마이티 코스피100,KOSPI,True,False,False
160580,TIGER 구리실물,KOSPI,True,False,False
161510,PLUS 고배당주,KOSPI,True,False,False
166400,TIGER 200커버드콜OTM,KOSPI,True,False,False
167860,KIWOOM 국고채10년레버리지,KOSPI,True,False,False
168580,ACE 중국본토CSI300,KOSPI,True,False,False
169950,KODEX 차이나A50,KOSPI,True,False,False
174350,TIGER 로우볼,KOSPI,True,False,False
174360,RISE 중국본토대형주CSI100,KOSPI,True,False,False
176950,KODEX 국채선물10년인버스,KOSPI,True,False,False
18064K,한진칼우,KOSPI,False,False,True
181480,ACE 미국부동산리츠(합성 H),KOSPI,True,False,False
182480,TIGER 미국MSCI리츠(합성 H),KOSPI,True,False,False
182490,TIGER 단기선진하이일드(합성 H),KOSPI,True,False,False
183700,RISE 채권혼합,KOSPI,True,False,False
183710,RISE 주식혼합,KOSPI,True,False,False
185680,KODEX 미국S&P바이오(합성),KOSPI,True,False,False
189400,PLUS 글로벌MSCI(합성 H),KOSPI,True,False,False
190620,ACE 단기통안채,KOSPI,True,False,False
192090,TIGER 차이나CSI300,KOSPI,True,False,False
192720,파워 고배당저변동성,KOSPI,True,False,False
195920,TIGER 일본TOPIX(합성 H),KOSPI,True,False,False
195930,TIGER 유로스탁스50(합성 H),KOSPI,True,False,False
195970,PLUS 선진국MSCI(합성 H),KOSPI,True,False,False
195980,PLUS 신흥국MSCI(합성 H),KOSPI,True,False,False
196030,ACE 일본TOPIX레버리지(H),KOSPI,True,False,False
196230,RISE 단기통안채,KOSPI,True,False,False
200030,KODEX 미국S&P500산업재(합성),KOSPI,True,False,False
200250,KIWOOM 인도Nifty50(합성),KOSPI,True,False,False
203780,TIGER 미국나스닥바이오,KOSPI,True,False,False
204450,KODEX 차이나H레버리지(H),KOSPI,True,False,False
204480,TIGER 차이나CSI300레버리지(합성),KOSPI,True,False,False
205720,ACE 일본TOPIX인버스(합성 H),KOSPI,True,False,False
210780,TIGER 코스피고배당,KOSPI,True,False,False
211560,TIGER 배당성장,KOSPI,True,False,False
211900,KODEX 코리아배당성장,KOSPI,True,False,False
213610,KODEX 삼성그룹밸류,KOSPI,True,False,False
213630,PLUS 미국다우존스고배당주(합성 H),KOSPI,True,False,False
214980,KODEX 단기채권PLUS,KOSPI,True,False,False
215620,HK S&P코리아로우볼,KOSPI,True,False,False
217770,TIGER 원유선물인버스(H),KOSPI,True,False,False
217780,TIGER 차이나CSI300인버스(합성),KOSPI,True,False,False
218420,KODEX 미국S&P500에너지(합성),KOSPI,True,False,False
219390,RISE 미국S&P원유생산기업(합성 H),KOSPI,True,False,False
219480,KODEX 미국S&P500선물(H),KOSPI,True,False,False
219900,ACE 중국본토CSI300레버리지(합성),KOSPI,True,False,False
220130,SOL 차이나강소기업CSI500(합성 H),KOSPI,True,False,False
223190,KODEX 200가치저변동,KOSPI,True,False,False
225030,TIGER 미국S&P500선물인버스(H),KOSPI,True,False,False
225040,TIGER 미국S&P500레버리지(합성 H),KOSPI,True,False,False
225050,TIGER 유로스탁스레버리지(합성 H),KOSPI,True,False,False
225060,TIGER 이머징마켓MSCI레버리지(합성 H),KOSPI,True,False,False
225130,ACE 골드선물 레버리지(합성 H),KOSPI,True,False,False
225800,KIWOOM 미국달러선물레버리지,KOSPI,True,False,False
226380,ACE Fn성장소비주도주,KOSPI,True,False,False
226490,KODEX 코스피,KOSPI,True,False,False
226980,KODEX 200 중소형,KOSPI,True,False,False
227540,TIGER 200 헬스케어,KOSPI,True,False,False
227550,TIGER 200 산업재,KOSPI,True,False,False
227560,TIGER 200 생활소비재,KOSPI,True,False,False
227570,TIGER 우량가치,KOSPI,True,False,False
227830,PLUS 코스피,KOSPI,True,False,False
228790,TIGER 화장품,KOSPI,True,False,False
228800,TIGER 여행레저,KOSPI,True,False,False
228810,TIGER 미디어컨텐츠,KOSPI,True,False,False
228820,TIGER KTOP30,KOSPI,True,False,False
